92,144,88,133,119,113
145,202,88,133,173,113
203,256,88,132,229,113
257,310,88,131,285,113
311,367,88,132,339,113
368,421,88,131,395,113
422,477,88,133,450,113
478,531,88,130,506,113
87,142,134,179,115,158
143,198,134,178,171,158
199,253,134,178,228,158
254,310,133,179,284,158
311,367,133,178,341,158
368,421,133,179,396,158
422,477,134,177,451,158
478,534,133,178,508,158
87,142,180,226,111,208
143,198,180,226,169,208
199,253,180,226,225,208
254,310,180,226,283,208
311,365,180,226,341,208
366,422,180,226,397,208
423,478,180,226,454,208
479,537,180,226,512,208
84,140,228,274,108,255
141,194,228,274,166,255
195,253,228,274,225,255
254,310,228,274,283,255
311,367,228,274,341,255
368,423,228,274,399,255
424,480,228,274,456,255
481,537,228,274,515,255
80,136,278,327,105,306
137,195,278,327,165,306
196,251,278,327,223,306
252,311,278,327,283,306
312,368,278,327,341,306
369,426,278,327,400,306
427,483,278,327,459,306
484,542,278,327,519,306
72,131,330,379,101,359
132,189,330,379,161,359
190,250,330,379,220,359
251,309,330,379,282,359
310,370,330,379,341,359
371,431,330,379,402,359
432,488,330,379,461,359
489,549,330,379,521,359
69,128,383,435,99,412
129,188,383,435,159,412
189,250,383,435,220,412
251,309,383,435,281,412
310,371,383,435,341,412
372,431,383,435,404,412
432,493,383,435,464,412
494,553,383,435,526,412
63,124,438,492,94,471
125,187,438,492,157,471
188,248,438,492,220,471
249,310,438,492,281,471
311,373,438,492,343,471
374,434,438,492,405,471
435,495,438,492,467,471
496,558,438,492,529,471
